district,incumbent,winner,status,dem_votes,gop_votes,other_votes,dem_pct,gop_pct,other_pct,margin,swing_from_pres20,pct_of_2020_turnout
MO-01,1,Cori Bush (D),Democratic hold,160999,53767,6192,0.729,0.243,0.028,D+48.5,R+9.8,0.62
MO-02,-1,Ann Wagner (R),Republican hold,135895,173277,6494,0.431,0.549,0.021,R+11.8,R+4.1,0.72
MO-03,-1,Blaine Luetkemeyer (R),Republican hold,96851,180746,0,0.349,0.651,0,R+30.2,R+4.1,0.7
MO-04,0,Mark Alford (R),Republican hold,67069,181890,6120,0.263,0.713,0.024,R+45,R+5.4,0.68
MO-05,1,Emanuel Cleaver (D),Democratic hold,140688,84008,5859,0.61,0.364,0.025,D+24.6,R+1.7,0.66
MO-06,-1,Sam Graves (R),Republican hold,72253,184865,5774,0.275,0.703,0.022,R+42.8,R+5.7,0.7
MO-07,0,Eric Burlison (R),Republican hold,67485,178592,5870,0.268,0.709,0.023,R+44.1,R+2.7,0.69
MO-08,-1,Jason Smith (R),Republican hold,53738,186472,5185,0.219,0.76,0.021,R+54.1,R+2.8,0.67
MS-01,-1,Trent Kelly (R),Republican hold,45238,122151,,0.27,0.73,0,R+45.9,R+14.3,0.5
MS-02,1,Bennie Thompson (D),Democratic hold,108285,71884,,0.601,0.399,0,D+20.2,R+5.9,0.54
MS-03,-1,Michael Guest (R),Republican hold,54803,132481,,0.293,0.707,0,R+41.5,R+17.1,0.54
MS-04,0,Mike Ezell (R),Republican hold,42876,127813,3569,0.246,0.733,0.02,R+48.7,R+10.8,0.58
MT-01,0,Ryan Zinke (R),Republican gain,115265,123102,9593,0.465,0.496,0.039,R+3.2,D+3.7,0.78
MT-02,-1,Matt Rosendale (R),Republican hold,43480,121979,50213,0.202,0.566,0.233,R+36.4,R+9.6,0.75
NC-01,0,Don Davis (R),Democratic hold,134996,122780,0,0.524,0.476,0,D+4.7,R+2.6,0.66
NC-02,1,Deborah Ross (D),Democratic hold,190714,104155,0,0.647,0.353,0,D+29.4,D+0.7,0.71
NC-03,-1,Greg Murphy (R),Republican hold,82378,166520,0,0.331,0.669,0,R+33.8,R+8.5,0.68
NC-04,0,Valerie Foushee (D),Democratic hold,194983,96442,0,0.669,0.331,0,D+33.8,R+1.2,0.72
NC-05,-1,Virginia Foxx (R),Republican hold,102269,175279,0,0.368,0.632,0,R+26.3,R+5.1,0.69
NC-06,1,Kathy Manning (D),Democratic hold,139553,116635,2810,0.539,0.45,0.011,D+8.8,R+3.5,0.66
NC-07,-1,David Rouzer (R),Republican hold,120222,164047,0,0.423,0.577,0,R+15.4,R+2.7,0.7
NC-08,-1,Dan Bishop (R),Republican hold,79192,183998,0,0.301,0.699,0,R+39.8,R+5.8,0.67
NC-09,-1,Richard Hudson (R),Republican hold,101202,131453,0,0.435,0.565,0,R+13,R+5,0.65
NC-10,-1,Patrick McHenry (R),Republican hold,73174,194681,352,0.273,0.726,0.001,R+45.3,R+5.8,0.68
NC-11,0,Chuck Edwards (R),Republican hold,144165,174232,5515,0.445,0.538,0.017,R+9.3,D+0.9,0.74
NC-12,1,Alma Adams (D),Democratic hold,140494,83414,0,0.627,0.373,0,D+25.5,R+4.6,0.61
NC-13,0,Wiley Nickel (D),Democratic gain,143090,134256,0,0.516,0.484,0,D+3.2,D+1.5,0.7
NC-14,0,Jeff Jackson (D),Democratic gain,148738,109014,0,0.577,0.423,0,D+15.4,R+1,0.66
ND-01,-1,Kelly Armstrong (R),Republican hold,0,148399,90187,0,0.622,0.378,R+62.2,R+28.9,0.66
NE-01,-1,Mike Flood (R),Republican hold,93929,129236,,0.421,0.579,0,R+15.8,R+4.8,0.71
NE-02,-1,Don Bacon (R),Republican hold,106807,112663,,0.487,0.513,0,R+2.7,R+9,0.7
NE-03,-1,Adrian Smith (R),Republican hold,34836,172700,13016,0.158,0.783,0.059,R+62.5,R+10.7,0.68
NH-01,1,Chris Pappas (D),Democratic hold,167391,142229,342,0.54,0.459,0.001,D+8.1,D+2.2,0.77
NH-02,1,Annie Kuster (D),Democratic hold,171636,135579,369,0.558,0.441,0.001,D+11.7,D+2.9,0.77
NJ-01,1,Donald Norcross (D),Democratic hold,139559,78794,5531,0.623,0.352,0.025,D+27.1,D+2.7,0.56
NJ-02,-1,Jeff Van Drew (R),Republican hold,94522,139217,2745,0.4,0.589,0.012,R+18.9,R+13.9,0.58
NJ-03,1,Andy Kim (D),Democratic hold,150498,118415,2463,0.555,0.436,0.009,D+11.8,R+2.3,0.62
NJ-04,-1,Chris Smith (R),Republican hold,81233,173288,4441,0.314,0.669,0.017,R+35.5,R+13.1,0.6
NJ-05,1,Josh Gottheimer (D),Democratic hold,145559,117873,2511,0.547,0.443,0.009,D+10.4,R+2,0.62
NJ-06,1,Frank Pallone (D),Democratic hold,106238,75839,2842,0.575,0.41,0.015,D+16.4,R+3.2,0.55
NJ-07,1,"Tom Kean, Jr. (R)",Republican gain,150701,159392,,0.486,0.514,0,R+2.8,R+6.5,0.67
NJ-08,0,Robert Menendez (D),Democratic hold,70837,23540,2815,0.729,0.242,0.029,D+48.7,D+3.9,0.41
NJ-09,1,Bill Pascrell (D),Democratic hold,82115,65214,2163,0.549,0.436,0.014,D+11.3,R+7.7,0.48
NJ-10,1,Donald Payne Jr. (D),Democratic hold,99613,25792,2957,0.776,0.201,0.023,D+57.5,R+5,0.44
NJ-11,1,Mikie Sherrill (D),Democratic hold,161436,109952,2276,0.59,0.402,0.008,D+18.8,D+2,0.63
NJ-12,1,Bonnie Watson Coleman (D),Democratic hold,125127,71175,1925,0.631,0.359,0.01,D+27.2,R+7.1,0.56
NM-01,1,Melanie Stansbury (D),Democratic hold,156462,124151,58,0.557,0.442,0,D+11.5,R+3,0.78
NM-02,-1,Gabe Vasquez (D),Democratic gain,96986,95636,51,0.503,0.496,0,D+0.7,R+5.2,0.73
NM-03,1,Teresa Leger Fernandez (D),Democratic hold,134217,96565,0,0.582,0.418,0,D+16.3,D+5.6,0.77
NV-01,1,Dina Titus (D),Democratic hold,115700,103115,5534,0.516,0.46,0.025,D+5.6,R+2.9,0.69
NV-02,-1,Mark Amodei (R),Republican hold,117371,185467,7660,0.378,0.597,0.025,R+21.9,R+10.9,0.77
NV-03,1,Susie Lee (D),Democratic hold,131086,121083,,0.52,0.48,0,D+4,R+2.7,0.7
NV-04,1,Steven Horsford (D),Democratic hold,116617,105870,,0.524,0.476,0,D+4.8,R+3.4,0.7
NY-01,0,Nick LaLota (R),Republican hold,136899,173275,298,0.441,0.558,0.001,R+11.7,R+11.9,0.72
NY-02,-1,Andrew Garbarino (R),Republican hold,95274,148765,317,0.39,0.609,0.001,R+21.9,R+20.4,0.68
NY-03,0,George Santos (R),Republican gain,125404,145824,103,0.462,0.537,0,R+7.5,R+15.7,0.68
NY-04,0,Anthony D'Esposito (R),Republican gain,130871,140622,67,0.482,0.518,0,R+3.6,R+18.1,0.69
NY-05,1,Gregory Meeks (D),Democratic hold,104395,34407,184,0.751,0.248,0.001,D+50.4,R+12,0.52
NY-06,1,Grace Meng (D),Democratic hold,85049,47935,130,0.639,0.36,0.001,D+27.9,R+2.3,0.55
NY-07,1,Nydia Velazquez (D),Democratic hold,119473,28597,234,0.806,0.193,0.002,D+61.3,R+1,0.57
NY-08,1,Hakeem Jeffries (D),Democratic hold,99079,39060,191,0.716,0.282,0.001,D+43.4,R+9.6,0.54
NY-09,1,Yvette Clarke (D),Democratic hold,116970,,26883,0.813,0,0.187,D+81.3,D+29.9,0.53
NY-10,0,Daniel Goldman (D),Democratic hold,160582,29058,2707,0.835,0.151,0.014,D+68.4,R+2.6,0.67
NY-11,-1,Nicole Malliotakis (R),Republican hold,71801,115992,306,0.382,0.617,0.002,R+23.5,R+15.9,0.64
NY-12,1,Jerry Nadler (D),Democratic hold,200890,44173,1042,0.816,0.179,0.004,D+63.7,R+7.4,0.72
NY-13,1,Adriano Espaillat (D),Democratic hold,116589,0,1257,0.989,0,0.011,D+98.9,D+22.1,0.43
NY-14,1,Alexandria Ocasio-Cortez (D),Democratic hold,82453,31935,2402,0.706,0.273,0.021,D+43.3,R+13.2,0.5
NY-15,1,Ritchie Torres (D),Democratic hold,72610,15265,160,0.825,0.173,0.002,D+65.1,R+4.7,0.41
NY-16,1,Jamaal Bowman (D),Democratic hold,133567,74156,205,0.642,0.357,0.001,D+28.6,R+15.1,0.64
NY-17,1,Mike Lawler (R),Republican gain,141597,143384,158,0.497,0.503,0.001,R+0.6,R+10.7,0.74
NY-18,1,Pat Ryan (D),Democratic hold,133945,130521,153,0.506,0.493,0.001,D+1.3,R+7.1,0.73
NY-19,0,Marc Molinaro (R),Republican gain,137843,143978,102,0.489,0.511,0,R+2.2,R+6.8,0.75
NY-20,1,Paul Tonko (D),Democratic hold,159018,130013,146,0.55,0.45,0.001,D+10,R+9.1,0.75
NY-21,-1,Elise Stefanik (R),Republican hold,113255,165634,97,0.406,0.594,0,R+18.8,R+6.4,0.77
NY-22,0,Brandon Williams (R),Republican hold,129318,133323,153,0.492,0.507,0.001,R+1.5,R+9,0.71
NY-23,-1,Nick Langworthy (R),Republican hold,101643,189022,218,0.349,0.65,0.001,R+30,R+12.8,0.72
NY-24,-1,Claudia Tenney (R),Republican hold,91793,178011,164,0.34,0.659,0.001,R+31.9,R+14.8,0.72
NY-25,1,Joe Morelle (D),Democratic hold,148681,128502,125,0.536,0.463,0,D+7.3,R+12.3,0.71
NY-26,1,Brian Higgins (D),Democratic hold,156883,88339,146,0.639,0.36,0.001,D+27.9,D+4.6,0.69
OH-01,-1,Greg Landsman (D),Democratic gain,156416,140058,,0.528,0.472,0,D+5.5,R+2.9,0.72
OH-02,-1,Brad Wenstrup (R),Republican hold,65745,192117,,0.255,0.745,0,R+49,R+3.6,0.68
OH-03,1,Joyce Beatty (D),Democratic hold,182324,76455,18,0.705,0.295,0,D+40.9,R+2.9,0.68
OH-04,-1,Jim Jordan (R),Republican hold,89383,200773,,0.308,0.692,0,R+38.4,R+2.7,0.72
OH-05,-1,Bob Latta (R),Republican hold,92634,187303,,0.331,0.669,0,R+33.8,R+7,0.71
OH-06,-1,Bill Johnson (R),Republican hold,90500,189883,,0.323,0.677,0,R+35.4,R+6.7,0.7
OH-07,0,Max Miller (R),Republican hold,135485,168002,86,0.446,0.553,0,R+10.7,R+1.5,0.71
OH-08,-1,Warren Davidson (R),Republican hold,98629,180287,,0.354,0.646,0,R+29.3,R+7.3,0.7
OH-09,1,Marcy Kaptur (D),Democratic hold,150655,115362,,0.566,0.434,0,D+13.3,D+16.2,0.68
OH-10,-1,Mike Turner (R),Republican hold,104634,168327,,0.383,0.617,0,R+23.3,R+19.8,0.7
OH-11,1,Shontel Brown (D),Democratic hold,167722,47988,,0.778,0.222,0,D+55.5,R+2.1,0.6
OH-12,-1,Troy Balderson (R),Republican hold,84893,191344,,0.307,0.693,0,R+38.5,R+7.7,0.71
OH-13,0,Emilia Sykes (D),Democratic hold,149816,134593,,0.527,0.473,0,D+5.4,D+2.5,0.7
OH-14,-1,David Joyce (R),Republican hold,113639,183389,,0.383,0.617,0,R+23.5,R+8.5,0.72
OH-15,-1,Mike Carey (R),Republican hold,108139,143112,,0.43,0.57,0,R+13.9,R+7.2,0.67
OK-01,-1,Kevin Hern (R),Republican hold,80974,142800,9721,0.347,0.612,0.042,R+26.5,R+5.1,0.73
OK-02,-1,Josh Brecheen (R),Republican hold,54194,167843,9635,0.234,0.724,0.042,R+49.1,D+4.3,0.72
OK-03,-1,Frank Lucas (R),Republican hold,50354,147418,,0.255,0.745,0,R+49.1,R+6.3,0.71
OK-04,-1,Tom Cole (R),Republican hold,74667,149879,,0.333,0.667,0,R+33.5,R+2.6,0.72
OK-05,-1,Stephanie Bice (R),Republican hold,96799,152699,9328,0.374,0.59,0.036,R+21.6,R+3.1,0.79
OR-01,1,Suzanne Bonamici (D),Democratic hold,210682,99042,519,0.679,0.319,0.002,D+36,R+3,0.78
OR-02,-1,Cliff Bentz (R),Republican hold,99882,208369,425,0.324,0.675,0.001,R+35.1,R+10.8,0.81
OR-03,1,Earl Blumenauer (D),Democratic hold,212119,79766,11449,0.699,0.263,0.038,D+43.6,R+3.3,0.78
OR-04,0,Val Hoyle (D),Democratic hold,171372,146055,21650,0.505,0.431,0.064,D+7.5,R+5.2,0.83
OR-05,0,Lori Chavez-DeRemer (R),Republican gain,171514,178813,906,0.488,0.509,0.003,R+2.1,R+10.9,0.82
OR-06,0,Andrea Salinas (D),Democratic gain,147156,139946,7275,0.5,0.475,0.025,D+2.4,R+10.6,0.8
PA-01,-1,Brian Fitzpatrick (R),Republican hold,165796,201567,0,0.451,0.549,0,R+9.7,R+14.4,0.79
PA-02,1,Brendan Boyle (D),Democratic hold,141229,45454,210,0.756,0.243,0.001,D+51.2,D+8.5,0.6
PA-03,1,Dwight Evans (D),Democratic hold,251115,0,13816,0.948,0,0.052,D+94.8,D+13.9,0.67
PA-04,1,Madeleine Dean (D),Democratic hold,224495,141870,0,0.613,0.387,0,D+22.6,D+3.6,0.8
PA-05,1,Mary Gay Scanlon (D),Democratic hold,205128,110058,0,0.651,0.349,0,D+30.2,R+2.1,0.75
PA-06,1,Chrissy Houlahan (D),Democratic hold,189785,135909,0,0.583,0.417,0,D+16.5,D+1.8,0.79
PA-07,1,Susan Wild (D),Democratic hold,151361,145526,0,0.51,0.49,0,D+2,D+1.3,0.75
PA-08,1,Matt Cartwright (D),Democratic hold,147169,140303,0,0.512,0.488,0,D+2.4,D+5.3,0.75
PA-09,-1,Dan Meuser (R),Republican hold,92365,208938,0,0.307,0.693,0,R+38.7,R+2.2,0.78
PA-10,-1,Scott Perry (R),Republican hold,145215,169331,0,0.462,0.538,0,R+7.7,R+3.5,0.79
PA-11,-1,Lloyd Smucker (R),Republican hold,121835,194991,0,0.385,0.615,0,R+23.1,R+1.8,0.8
PA-12,0,Summer Lee (D),Democratic hold,184674,143946,0,0.562,0.438,0,D+12.4,R+7.6,0.77
PA-13,-1,John Joyce (R),Republican hold,0,260328,,0,1,0,R+100,R+54.8,0.65
PA-14,-1,Guy Reschenthaler (R),Republican hold,0,230864,,0,1,0,R+100,R+68.5,0.56
PA-15,-1,Glenn Thompson (R),Republican hold,91715,213408,0,0.301,0.699,0,R+39.9,R+2.9,0.79
PA-16,-1,Mike Kelly (R),Republican hold,130177,190081,0,0.406,0.594,0,R+18.7,D+1.9,0.79
PA-17,0,Chris Deluzio (D),Democratic hold,193615,169013,0,0.534,0.466,0,D+6.8,D+1,0.8
RI-01,1,David Cicilline (D),Democratic hold,100318,56055,361,0.64,0.358,0.002,D+28.2,R+0.7,0.65
RI-02,0,Seth Magaziner (D),Democratic hold,101432,93969,5688,0.504,0.467,0.028,D+3.7,R+10,0.73
SC-01,-1,Nancy Mace (R),Republican hold,115796,153757,3128,0.425,0.564,0.011,R+13.9,R+5.3,0.71
SC-02,-1,Joe Wilson (R),Republican hold,98081,147699,346,0.398,0.6,0.001,R+20.2,R+9.6,0.67
SC-03,-1,Jeff Duncan (R),Republican hold,,189971,4598,0,0.976,0.024,R+97.6,R+60.2,0.56
SC-04,-1,William Timmons (R),Republican hold,,165607,16758,0,0.908,0.092,R+90.8,R+72.3,0.53
SC-05,-1,Ralph Norman (R),Republican hold,83299,154725,3683,0.345,0.64,0.015,R+29.6,R+11.4,0.66
SC-06,1,Jim Clyburn (D),Democratic hold,130923,79879,226,0.62,0.379,0.001,D+24.2,R+7.9,0.63
SC-07,0,Russell Fry (R),Republican hold,89030,164440,395,0.351,0.648,0.002,R+29.7,R+11,0.69
SD-01,-1,Dusty Johnson (R),Republican hold,0,253821,74020,0,0.774,0.226,R+77.4,R+51.3,0.78
TN-01,-1,Diana Harshbarger (R),Republican hold,37049,147241,3713,0.197,0.783,0.02,R+58.6,R+4.4,0.56
TN-02,-1,Tim Burchett (R),Republican hold,66673,141089,,0.321,0.679,0,R+35.8,R+6.6,0.58
TN-03,-1,Chuck Fleischmann (R),Republican hold,60334,136639,2857,0.302,0.684,0.014,R+38.2,R+6.3,0.57
TN-04,-1,Scott DesJarlais (R),Republican hold,44648,122401,6388,0.257,0.706,0.037,R+44.8,R+7.1,0.53
TN-05,0,Andy Ogles,Republican gain,93648,123558,4069,0.423,0.558,0.018,R+13.5,R+2.2,0.61
TN-06,-1,John Rose (R),Republican hold,65675,129388,,0.337,0.663,0,R+32.7,R+3.5,0.56
TN-07,-1,Mark E. Green (R),Republican hold,68973,108421,3428,0.381,0.6,0.019,R+21.8,R+6.7,0.55
TN-08,-1,David Kustoff (R),Republican hold,51102,155602,3611,0.243,0.74,0.017,R+49.7,R+12.4,0.58
TN-09,1,Steve Cohen (D),Democratic hold,93800,35123,4995,0.7,0.262,0.037,D+43.8,R+4.4,0.47
TX-01,0,Nathaniel Moran (R),Republican hold,51438,183224,,0.219,0.781,0,R+56.2,R+10.3,0.72
TX-02,-1,Dan Crenshaw (R),Republican hold,78496,151791,,0.341,0.659,0,R+31.8,R+9.1,0.72
TX-03,-1,Keith Self (R),Republican hold,100121,164240,6895,0.369,0.605,0.025,R+23.6,R+9.3,0.75
TX-04,-1,Pat Fallon (R),Republican hold,79179,170781,6049,0.309,0.667,0.024,R+35.8,R+9.9,0.74
TX-05,-1,Lance Gooden (R),Republican hold,71930,135595,4440,0.339,0.64,0.021,R+30,R+7.6,0.71
TX-06,-1,Jake Ellzey (R),Republican hold,0,149321,,0,1,0,R+100,R+76.1,0.53
TX-07,1,Lizzie Fletcher (D),Democratic hold,115994,65835,,0.638,0.362,0,D+27.6,R+2.1,0.65
TX-08,0,Morgan Luttrell (R),Republican hold,68715,153127,3126,0.305,0.681,0.014,R+37.5,R+10.3,0.72
TX-09,1,Al Green (D),Democratic hold,125446,38161,,0.767,0.233,0,D+53.4,R+0.1,0.64
TX-10,-1,Michael McCaul (R),Republican hold,86404,159469,6064,0.343,0.633,0.024,R+29,R+10.2,0.74
TX-11,-1,August Pfluger (R),Republican hold,0,151066,,0,1,0,R+100,R+59.7,0.56
TX-12,-1,Kay Granger (R),Republican hold,85026,152953,,0.357,0.643,0,R+28.5,R+10.4,0.73
TX-13,-1,Ronny Jackson (R),Republican hold,52910,161767,,0.246,0.754,0,R+50.7,R+5.2,0.72
TX-14,-1,Randy Weber (R),Republican hold,63606,149543,,0.298,0.702,0,R+40.3,R+11.8,0.68
TX-15,0,Monica De La Cruz (R),Republican gain,68097,80978,2814,0.448,0.533,0.019,R+8.5,R+5.6,0.67
TX-16,1,Veronica Escobar (D),Democratic hold,95510,54986,,0.635,0.365,0,D+26.9,R+8.5,0.62
TX-17,-1,Pete Sessions (R),Republican hold,72801,144408,,0.335,0.665,0,R+33,R+10.4,0.72
TX-18,1,Sheila Jackson Lee (D),Democratic hold,110511,40941,4816,0.707,0.262,0.031,D+44.5,R+4,0.65
TX-19,-1,Jodey Arrington (R),Republican hold,0,152321,37360,0,0.803,0.197,R+80.3,R+34.1,0.68
TX-20,1,Joaquin Castro (D),Democratic hold,115352,53226,21,0.684,0.316,0,D+36.8,D+3.8,0.64
TX-21,-1,Chip Roy (R),Republican hold,122655,207426,,0.372,0.628,0,R+25.7,R+6,0.79
TX-22,-1,Troy Nehls (R),Republican hold,85653,150014,5548,0.355,0.622,0.023,R+26.7,R+10.6,0.72
TX-23,-1,Tony Gonzales (R),Republican hold,80947,116649,11180,0.388,0.559,0.054,R+17.1,R+9.9,0.71
TX-24,-1,Beth Van Duyne (R),Republican hold,119878,177947,,0.403,0.597,0,R+19.5,R+7.2,0.76
TX-25,-1,Roger Williams (R),Republican hold,0,185270,,0,1,0,R+100,R+68.8,0.56
TX-26,-1,Michael Burgess (R),Republican hold,,183639,81384,0,0.693,0.307,R+69.3,R+50.8,0.73
TX-27,-1,Michael Cloud (R),Republican hold,73611,133416,,0.356,0.644,0,R+28.9,R+6.5,0.72
TX-28,1,Henry Cuellar (D),Democratic hold,93803,71778,,0.567,0.433,0,D+13.3,D+6.3,0.66
TX-29,1,Sylvia Garcia (D),Democratic hold,71837,28765,,0.714,0.286,0,D+42.8,D+6.1,0.58
TX-30,0,Jasmine Crockett (D),Democratic hold,134876,39209,6428,0.747,0.217,0.036,D+53,R+3.7,0.65
TX-31,-1,John Carter (R),Republican hold,,183185,,0,1,0,R+100,R+79.8,0.53
TX-32,1,Colin Allred (D),Democratic hold,116005,61494,,0.654,0.346,0,D+30.7,R+2.2,0.67
TX-33,1,Marc Veasey (D),Democratic hold,82081,29203,2746,0.72,0.256,0.024,D+46.4,R+3.5,0.61
TX-34,0,Vicente Gonzalez (D),Democratic gain,70896,59464,4079,0.527,0.442,0.03,D+8.5,R+7,0.66
TX-35,0,Greg Casar (D),Democratic hold,129599,48969,,0.726,0.274,0,D+45.2,D+0,0.68
TX-36,-1,Brian Babin (R),Republican hold,64016,145599,,0.305,0.695,0,R+38.9,R+7.3,0.69
TX-37,1,Lloyd Doggett (D),Democratic hold,219358,59923,6508,0.768,0.21,0.023,D+55.8,D+3.2,0.74
TX-38,0,Wesley Hunt (R),Republican gain,92302,163597,3970,0.355,0.63,0.015,R+27.4,R+9.3,0.73
UT-01,-1,Blake Moore (R),Republican hold,87986,178434,,0.33,0.67,0,R+33.9,R+14.6,0.7
UT-02,-1,Chris Stewart (R),Republican hold,88224,154883,16292,0.34,0.597,0.063,R+25.7,R+8.8,0.71
UT-03,-1,John Curtis (R),Republican hold,83687,182497,17196,0.295,0.644,0.061,R+34.9,R+15.7,0.72
UT-04,-1,Burgess Owens (R),Republican hold,82181,155110,16768,0.323,0.611,0.066,R+28.7,R+3.1,0.7
VA-01,-1,Rob Wittman (R),Republican hold,147229,191828,3685,0.43,0.56,0.011,R+13,R+6.4,0.74
VA-02,1,Jen Kiggans (R),Republican gain,143219,153328,449,0.482,0.516,0.002,R+3.4,R+5.5,0.74
VA-03,1,Bobby Scott (D),Democratic hold,139659,67668,523,0.672,0.326,0.003,D+34.6,R+3.4,0.61
VA-04,1,Don McEachin (D),Democratic hold,159044,85503,431,0.649,0.349,0.002,D+30,R+5.7,0.62
VA-05,-1,Bob Good (R),Republican hold,129996,177191,603,0.422,0.576,0.002,R+15.3,R+7.1,0.71
VA-06,-1,Ben Cline (R),Republican hold,95410,173352,472,0.354,0.644,0.002,R+28.9,R+6.9,0.68
VA-07,1,Abigail Spanberger (D),Democratic hold,143357,130586,647,0.522,0.476,0.002,D+4.7,R+2.1,0.7
VA-08,1,Don Beyer (D),Democratic hold,197760,66589,4587,0.735,0.248,0.017,D+48.8,R+6.8,0.68
VA-09,-1,Morgan Griffith (R),Republican hold,66027,182207,558,0.265,0.732,0.002,R+46.7,R+4.8,0.62
VA-10,1,Jennifer Wexton (D),Democratic hold,157405,138163,577,0.532,0.467,0.002,D+6.5,R+11.5,0.72
VA-11,1,Gerry Connolly (D),Democratic hold,193190,95634,852,0.667,0.33,0.003,D+33.7,R+7.3,0.68
VT-01,0,Becca Balint (D),Democratic hold,176494,78397,27675,0.625,0.277,0.098,D+34.7,R+0.7,0.77
WA-01,1,Suzan DelBene (D),Democratic hold,181992,104329,363,0.635,0.364,0.001,D+27.1,R+3.3,0.73
WA-02,1,Rick Larsen (D),Democratic hold,202980,134335,608,0.601,0.398,0.002,D+20.3,R+2.5,0.77
WA-03,0,Marie Gluesenkamp Perez (D),Democratic gain,160314,157685,1760,0.501,0.493,0.006,D+0.8,D+5,0.76
WA-04,-1,Dan Newhouse (R),Republican hold,70710,150619,5318,0.312,0.665,0.023,R+35.3,R+18.4,0.7
WA-05,-1,Cathy McMorris Rodgers (R),Republican hold,127585,188648,773,0.402,0.595,0.002,R+19.3,R+9.4,0.76
WA-06,1,Derek Kilmer (D),Democratic hold,208710,138754,409,0.6,0.399,0.001,D+20.1,D+3,0.78
WA-07,1,Pramila Jayapal (D),Democratic hold,295998,49207,1442,0.854,0.142,0.004,D+71.2,R+3.9,0.75
WA-08,1,Kim Schrier (D),Democratic hold,179003,155976,1059,0.533,0.464,0.003,D+6.9,D+0.2,0.77
WA-09,1,Adam Smith (D),Democratic hold,171746,67631,471,0.716,0.282,0.002,D+43.4,R+1.3,0.67
WA-10,1,Marilyn Strickland (D),Democratic hold,152544,114777,427,0.57,0.429,0.002,D+14.1,R+3.5,0.7
WI-01,-1,Bryan Steil (R),Republican hold,135825,162610,2432,0.451,0.54,0.008,R+8.9,R+6.9,0.76
WI-02,1,Mark Pocan (D),Democratic hold,268740,101890,7907,0.71,0.269,0.021,D+44.1,D+2.4,0.85
WI-03,0,Derrick Van Orden (R),Republican gain,152977,164743,202,0.481,0.518,0.001,R+3.7,D+1,0.8
WI-04,1,Gwen Moore (D),Democratic hold,191955,57660,5397,0.753,0.226,0.021,D+52.7,R+0.2,0.74
WI-05,-1,Scott Fitzgerald (R),Republican hold,134581,243741,201,0.356,0.644,0.001,R+28.8,R+6,0.81
WI-06,-1,Glenn Grothman (R),Republican hold,,239231,12768,0,0.949,0.051,R+94.9,R+79.3,0.61
WI-07,-1,Tom Tiffany (R),Republican hold,128877,209224,167,0.381,0.619,0,R+23.8,R+3.8,0.8
WI-08,-1,Mike Gallagher (R),Republican hold,5320,223981,78928,0.017,0.727,0.256,R+70.9,R+55.5,0.75
WV-01,-1,Carol Miller (R),Republican hold,65428,151511,10257,0.288,0.667,0.045,R+37.9,D+3,0.58
WV-02,-1,Alex Mooney (R),Republican hold,84278,160493,0,0.344,0.656,0,R+31.1,D+5.9,0.61
WY-01,-1,Harriet Hageman (R),Republican hold,47250,132206,14446,0.244,0.682,0.075,R+43.8,R+0.5,0.7
